departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
40,2050,09267X0014/PIEZO1,BETBEZER (BETBEZER-D'ARMAGNAC - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,2056,09267X0017/F,Périllet,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1980,08733X0016/F1,Ispes 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,698,09784X0010/F3,Brac,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,8415,09784X0029/CHICOY,Eugénie-les-Bains - 09784X0029/CHICOY,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7704,09782X0013/F4,ASA 8,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,8128,09783X0019/F,Larcuchette,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,2055,09266X0104/F,Route de St Justin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,7404,09765X0158/R11,R11 Carrière (LABENNE - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7644,09758X0009/R13,R13 (LABENNE - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,696,09266X0004/LC101,LACQUY 101 (LACQUY - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,1418,09492X0014/F1,F1 Bourg,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,7455,09507X0048/F1,Lavigne,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7987,09781X0013/F,F1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,2234,08977X0009/F4NP1,Captage M1 rte d'Escource (MIMIZAN),0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,7932,09781X0011/F,LABAOUCOUME,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,1711,09758X0014/GOLF3,Ondres - 09758X0014/GOLF3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7385,09765X0157/R10,R10 Esquiron (ONDRES - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7766,09758X0008/R6,R6 CHEMIN DE PIP (ONDRES - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,1997,09775X0012/F,Lesjournades,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,776,09261X0008/F1,F1 STADE,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,1990,09507X0042/F3,Castaingt,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2003,09266X0006/F,Captage de Saint Justin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2015,09768X0040/F2,Piézomètre,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1989,09771X0110/F3,Saint-Paul-lès-Dax - 09771X0110/F3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7563,09511X0022/LS02,LANDES DE SIOUGOS LS2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7453,09783X0018/F1,Taulade,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,8031,09761X0105/F,R4 les Chays (SEIGNOSSE LE PENON - 40),0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2238,09761X0041/F,Soorts Captage de (SOORTS-HOSSEGOR - 40),0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,7440,09257X0054/F1,PERPIGNAN-OLIGOCÈNE (UCHACQ-ET-PARENTIS - 40),0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,2235,09495X0003/F2,Forage F2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1008,04902X0012/FAEP,Billy - 04902X0012/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2333,04302X0101/F,Forage de l'aire de service Autoroute BP ( Chaumont-sur-Tharonne - 41),0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,8291,04605X0037/FAEP,Contres - 04605X0037/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1835,03608X0001/F,DANZE RN 157_LES BIGOTERIES,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,8288,04604X0001/FAEP,Millançay - 04604X0001/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1706,03616X0003/FAEP,Morée - 03616X0003/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,7617,04606X0021/FAEP2,Captage de N°2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,982,04911X0013/FAEP2,Captage de N°2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
41,1705,03957X0052/FAEP,Saint-Rimay - 03957X0052/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1704,03952X0001/FAEP,Savigny-sur-Braye - 03952X0001/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1017,04894X0016/PZ,Seigy - 04894X0016/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1707,03603X0013/FAEP,Saint-Agil - 03603X0013/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,1643,04518X0044/F3,PETIT MARS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8029,04323X0005/F,LA ROUGEOLLERIE,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,8290,03663X0026/FAEP,Courtenay - 03663X0026/FAEP,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,1330,03997X0004/F,Sully-sur-Loire - 03997X0004/F,0,1,1,0,0,1,0,0,0,0,0,0,0,0
45,1898,03634X0093/F,LE CHAMP DES BRULÉS,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,976,04552X0069/F1,Beaufort-en-Anjou - 04552X0069/F1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,979,04552X0070/F2,Forage du Clos Bertin F2 (Beaufort-en-Vallée - 49),0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1000,04552X0081/FPJ,Beaufort-en-Anjou - 04552X0081/FPJ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1013,04552X0110/PZ,Mazé-Milon - 04552X0110/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
